Positions and Mark-to-Market Profit and Loss,Data,Forex,USD,SGD, ,48,0,0.75,0.73,35.92,0.00,152.41,-91.24,-2.01,0.00,59.16
Positions and Mark-to-Market Profit and Loss,Data,Forex,USD,USD, ,0,626,1.00,1.00,0.00,625.70,0.00,0.00,0.00,0.00,0.00
Positions and Mark-to-Market Profit and Loss,Data,Total,USD,,,,,,,35.92,625.70,152.41,-91.24,-2.01,0.00,59.16
Positions and Mark-to-Market Profit and Loss,Data,Total (All Assets),USD,,,,,,,701.73,"-1,091.54",-65.94,0.00,-455.75
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,ACU,0,7.29434243,-0.79737938,0,0,6.49696305,0,0,0,0,0,6.49696305,
Realized & Unrealized Performance Summary,Data,Stocks,AEYE,0,0,0,0,0,0,60.6,0,0,0,60.6,60.6,
Realized & Unrealized Performance Summary,Data,Stocks,ALNA,0,83.68588073,0,0,0,83.68588073,0,0,0,0,0,83.68588073,
Realized & Unrealized Performance Summary,Data,Stocks,ALPN,0,5.4889405,-0.513432,0,0,4.9755085,0,0,0,0,0,4.9755085,
Realized & Unrealized Performance Summary,Data,Stocks,ASPN,0,0,0,0,0,0,0,-4,0,0,-4,-4,
Realized & Unrealized Performance Summary,Data,Stocks,ATOM,0,0,0,0,0,0,0,-1.28,0,0,-1.28,-1.28,
Realized & Unrealized Performance Summary,Data,Stocks,BSGM,0,0,0,0,0,0,0,-31.625,0,0,-31.625,-31.625,
Realized & Unrealized Performance Summary,Data,Stocks,BTAI,0,0,0,0,0,0,0,-11.14,0,0,-11.14,-11.14,
Realized & Unrealized Performance Summary,Data,Stocks,BXG,0,0,-110.40244383,0,0,-110.40244383,0,0,0,0,0,-110.40244383,
Realized & Unrealized Performance Summary,Data,Stocks,CERC,0,0,0,0,0,0,0,-12.465,0,0,-12.465,-12.465,
Realized & Unrealized Performance Summary,Data,Stocks,CRVS,0,0,0,0,0,0,0,-10.48,0,0,-10.48,-10.48,
Realized & Unrealized Performance Summary,Data,Stocks,CUE,0,122.10747276,0,0,0,122.10747276,0,-52.77,0,0,-52.77,69.33747276,
Realized & Unrealized Performance Summary,Data,Stocks,ETTX,0,0,0,0,0,0,0,-23.8,0,0,-23.8,-23.8,
Realized & Unrealized Performance Summary,Data,Stocks,FTNW,0,0,-87.93747539,0,0,-87.93747539,0,-714.287379,0,0,-714.287379,-802.22485439,
Realized & Unrealized Performance Summary,Data,Stocks,ICD,0,0,0,0,0,0,17.16,0,0,0,17.16,17.16,
Realized & Unrealized Performance Summary,Data,Stocks,IMH,0,0,0,0,0,0,0,-12.925,0,0,-12.925,-12.925,
Realized & Unrealized Performance Summary,Data,Stocks,KEG,0,0,0,0,0,0,13.82,0,0,0,13.82,13.82,
Realized & Unrealized Performance Summary,Data,Stocks,KNSA,0,19.9608125,0,0,0,19.9608125,0,0,0,0,0,19.9608125,
Realized & Unrealized Performance Summary,Data,Stocks,LAZY,0,0,-114.036514,0,0,-114.036514,0,0,0,0,0,-114.036514,
Realized & Unrealized Performance Summary,Data,Stocks,LEVB,0,11.68533985,0,0,0,11.68533985,0,0,0,0,0,11.68533985,
Realized & Unrealized Performance Summary,Data,Stocks,LQDA,0,246.25720547,0,0,0,246.25720547,0,0,0,0,0,246.25720547,
Realized & Unrealized Performance Summary,Data,Stocks,MBIO,0,0,0,0,0,0,0,-29.785,0,0,-29.785,-29.785,
Realized & Unrealized Performance Summary,Data,Stocks,MGEN,0,0,0,0,0,0,0,-10.29,0,0,-10.29,-10.29,
Realized & Unrealized Performance Summary,Data,Stocks,MGTA,0,23.7023292,0,0,0,23.7023292,20.85,0,0,0,20.85,44.5523292,
Realized & Unrealized Performance Summary,Data,Stocks,MOTS,0,2.98394,0,0,0,2.98394,0,0,0,0,0,2.98394,
Realized & Unrealized Performance Summary,Data,Stocks,RKDA,0,0,0,0,0,0,0,-2.38,0,0,-2.38,-2.38,
Realized & Unrealized Performance Summary,Data,Stocks,RMED,0,0,0,0,0,0,5.2,0,0,0,5.2,5.2,
Realized & Unrealized Performance Summary,Data,Stocks,ROSE,0,0,0,0,0,0,0,-1.23,0,0,-1.23,-1.23,
Realized & Unrealized Performance Summary,Data,Stocks,SBT,0,0,0,0,0,0,0,-10.4,0,0,-10.4,-10.4,
Realized & Unrealized Performance Summary,Data,Stocks,SIC,0,8.7772542,0,0,0,8.7772542,12.06,0,0,0,12.06,20.8372542,
Realized & Unrealized Performance Summary,Data,Stocks,STRO,0,0,0,0,0,0,13.65,-0.7,0,0,12.95,12.95,
Realized & Unrealized Performance Summary,Data,Stocks,SVVC,0,18.51739178,0,0,0,18.51739178,0,0,0,0,0,18.51739178,
Realized & Unrealized Performance Summary,Data,Stocks,TBIO,0,29.481568,0,0,0,29.481568,0,0,0,0,0,29.481568,
Realized & Unrealized Performance Summary,Data,Stocks,UROV,0,0,0,0,0,0,5.05,0,0,0,5.05,5.05,
Realized & Unrealized Performance Summary,Data,Total,,0,579.94247742,-313.6872446,0,0,266.25523282,148.39,-929.557379,0,0,-781.167379,-514.91214618,
Realized & Unrealized Performance Summary,Data,Forex,SGD,0,98.195146,-38.867873,0,0,59.327273,0,-0.000017,0,0,-0.000017,59.327256,
Realized & Unrealized Performance Summary,Data,Total,,0,98.195146,-38.867873,0,0,59.327273,0,-0.000017,0,0,-0.000017,59.327256,
Realized & Unrealized Performance Summary,Data,Total (All Assets),,0,678.13762342,-352.5551176,0,0,325.58250582,148.39,-929.557396,0,0,-781.167396,-455.58489018,
Cash Report,Header,Currency Summary,Currency,Total,Securities,Futures,
Cash Report,Data,Starting Cash,Base Currency Summary,35.918401349,35.918401349,0,
Cash Report,Data,Commissions,Base Currency Summary,-65.94221758,-65.94221758,0,
Cash Report,Data,Deposits,Base Currency Summary,84256.7895496,84256.7895496,0,
Cash Report,Data,Withdrawals,Base Currency Summary,-64314,-64314,0,
Cash Report,Data,Net Trades (Sales),Base Currency Summary,85898.2421,85898.2421,0,
Cash Report,Data,Net Trades (Purchase),Base Currency Summary,-105265.31092826,-105265.31092826,0,
Cash Report,Data,Other Fees,Base Currency Summary,-72.4081453,-72.4081453,0,
Cash Report,Data,Cash FX Translation Gain/Loss,Base Currency Summary,152.41039587,152.41039587,0,
Cash Report,Data,Ending Cash,Base Currency Summary,625.699155416,625.699155416,0,
Cash Report,Data,Ending Settled Cash,Base Currency Summary,12434.159155416,12434.159155416,0,
Cash Report,Data,Starting Cash,SGD,48.04109,48.04109,0,
Cash Report,Data,Commissions,SGD,-2.673,-2.673,0,
Cash Report,Data,Deposits,SGD,85732.07,85732.07,0,
Cash Report,Data,Net Trades (Purchase),SGD,-85727.3463,-85727.3463,0,
Cash Report,Data,Other Fees,SGD,-50.09,-50.09,0,
Cash Report,Data,Ending Cash,SGD,0.00179,0.00179,0,
Cash Report,Data,Ending Settled Cash,SGD,0.00179,0.00179,0,
Cash Report,Data,Starting Cash,USD,0,0,0,
Cash Report,Data,Commissions,USD,-63.93404614,-63.93404614,0,
Cash Report,Data,Deposits,USD,20000,20000,0,
Cash Report,Data,Withdrawals,USD,-64314,-64314,0,
Cash Report,Data,Net Trades (Sales),USD,85898.2421,85898.2421,0,
Cash Report,Data,Net Trades (Purchase),USD,-40860.0702,-40860.0702,0,
Cash Report,Data,Other Fees,USD,-34.54,-34.54,0,
Cash Report,Data,Ending Cash,USD,625.697853853,625.697853853,0,
Cash Report,Data,Ending Settled Cash,USD,12434.157853853,12434.157853853,0,
Statement of Funds,Header,Currency,Report Date,Activity Date,Description,Debit,Credit,Balance
Statement of Funds,Data,Base Currency Summary,2018-01-01,,Opening Balance, , ,35.918401349
Statement of Funds,Data,Base Currency Summary,2018-01-03,2018-01-03,Balance of Monthly Minimum Fee for Dec 2017,-8.0398421, ,27.878559249
Statement of Funds,Data,Base Currency Summary,2018-02-05,2018-02-05,Balance of Monthly Minimum Fee for Jan 2018,-19.851872, ,8.026687249
Statement of Funds,Data,Base Currency Summary,2018-03-06,2018-03-06,Balance of Monthly Minimum Fee for Feb 2018,-8.4404892, ,-0.413801951
Statement of Funds,Data,Base Currency Summary,2018-05-02,2018-05-02,Electronic Fund Transfer, ,37412,37411.586198049
Statement of Funds,Data,Base Currency Summary,2018-05-03,2018-05-03,Electronic Fund Transfer, ,26844.7895496,64256.375747649
Statement of Funds,Data,Base Currency Summary,2018-05-03,2018-05-03,"Net Amount in Base from Forex Trade: 64,314 USD.SGD",-93.24889944, ,64163.126848209
Statement of Funds,Data,Base Currency Summary,2018-05-08,2018-05-08,Disbursement Initiated by Ching Jui Young,-64314, ,-150.873151791
Statement of Funds,Data,Base Currency Summary,2018-06-05,2018-06-05,Balance of Monthly Minimum Fee for May 2018,-1.535942, ,-152.409093791
Statement of Funds,Data,Base Currency Summary,2018-10-30,2018-10-30,Electronic Fund Transfer, ,10000,9847.590906209
Statement of Funds,Data,Base Currency Summary,2018-11-01,2018-11-01,Electronic Fund Transfer, ,10000,19847.590906209
Statement of Funds,Data,Base Currency Summary,2018-11-02,2018-11-02,Balance of Monthly Minimum Fee for Oct 2018,-20, ,19827.590906209
Statement of Funds,Data,Base Currency Summary,2018-11-02,2018-11-02,Buy 37 ACME UNITED CORP ,-656.64, ,19170.950906209
Statement of Funds,Data,Base Currency Summary,2018-11-02,2018-11-02,Buy 80 ALLENA PHARMACEUTICALS INC ,-665, ,18505.950906209
Statement of Funds,Data,Base Currency Summary,2018-11-02,2018-11-02,Buy 50 ALPINE IMMUNE SCIENCES INC ,-244.5, ,18261.450906209
Statement of Funds,Data,Base Currency Summary,2018-11-02,2018-11-02,Buy 83 ALPINE IMMUNE SCIENCES INC ,-415, ,17846.450906209
Statement of Funds,Data,Base Currency Summary,2018-11-05,2018-11-05,Order Cancellation Fee for Nov 2018,-0.02, ,17846.430906209
Statement of Funds,Data,Base Currency Summary,2018-11-05,2018-11-05,y******41:US Equity and Options Add-On Streaming Bundle Non-Professional for Nov 2018,-4.5, ,17841.930906209
Statement of Funds,Data,Base Currency Summary,2018-11-05,2018-11-05,y******41:US Securities Snapshot and Futures Value Bundle Non-Professional for Nov 2018,-10, ,17831.930906209
Statement of Funds,Data,Base Currency Summary,2018-11-05,2018-11-05,Buy 10 CUE BIOPHARMA INC ,-74, ,17757.930906209
Statement of Funds,Data,Base Currency Summary,2018-11-05,2018-11-05,Buy 210 CUE BIOPHARMA INC ,-1533.65, ,16224.280906209
Statement of Funds,Data,Base Currency Summary,2018-11-05,2018-11-05,Buy 53 CUE BIOPHARMA INC ,-387.2975, ,15836.983406209
Statement of Funds,Data,Base Currency Summary,2018-11-05,2018-11-05,Buy 216 FTE NETWORKS INC ,-1999.62, ,13837.363406209
Statement of Funds,Data,Base Currency Summary,2018-11-06,2018-11-06,Sell -1 ACME UNITED CORP , ,16.94964765,13854.313053859
Statement of Funds,Data,Base Currency Summary,2018-11-06,2018-11-06,Sell -36 ACME UNITED CORP , ,646.1873154,14500.500369259
Statement of Funds,Data,Base Currency Summary,2018-11-06,2018-11-06,Buy 55 BLUEGREEN VACATIONS CORP ,-707.75, ,13792.750369259
Statement of Funds,Data,Base Currency Summary,2018-11-06,2018-11-06,Buy 100 BLUEGREEN VACATIONS CORP ,-1285, ,12507.750369259
Statement of Funds,Data,Base Currency Summary,2018-11-08,2018-11-08,Sell -80 ALLENA PHARMACEUTICALS INC , ,670.981744,13178.732113259
Statement of Funds,Data,Base Currency Summary,2018-11-08,2018-11-08,Sell -273 CUE BIOPHARMA INC , ,2117.05497276,15295.787086019
Statement of Funds,Data,Base Currency Summary,2018-11-12,2018-11-12,Sell -100 ALPINE IMMUNE SCIENCES INC , ,498.9816,15794.768686019
Statement of Funds,Data,Base Currency Summary,2018-11-13,2018-11-13,Buy 243 ALLENA PHARMACEUTICALS INC ,-1993.815, ,13800.953686019
Statement of Funds,Data,Base Currency Summary,2018-11-13,2018-11-13,Sell -10 ALPINE IMMUNE SCIENCES INC , ,50.4981405,13851.451826519
Statement of Funds,Data,Base Currency Summary,2018-11-13,2018-11-13,Sell -23 ALPINE IMMUNE SCIENCES INC , ,114.995768,13966.447594519
Statement of Funds,Data,Base Currency Summary,2018-11-13,2018-11-13,Sell -216 FTE NETWORKS INC , ,1471.99514544,15438.442739959
Statement of Funds,Data,Base Currency Summary,2018-11-13,2018-11-13,Buy 100 KINIKSA PHARMACEUTICALS-A ,-1806, ,13632.442739959
Statement of Funds,Data,Base Currency Summary,2018-11-13,2018-11-13,Buy 10 KINIKSA PHARMACEUTICALS-A ,-180.5, ,13451.942739959
Statement of Funds,Data,Base Currency Summary,2018-11-13,2018-11-13,Buy 200 LAZYDAYS HOLDINGS INC ,-1091, ,12360.942739959
Statement of Funds,Data,Base Currency Summary,2018-11-13,2018-11-13,Buy 10 LIQUIDIA TECHNOLOGIES INC ,-194.5, ,12166.442739959
Statement of Funds,Data,Base Currency Summary,2018-11-13,2018-11-13,Buy 93 LIQUIDIA TECHNOLOGIES INC ,-1799.55, ,10366.892739959
Statement of Funds,Data,Base Currency Summary,2018-11-13,2018-11-13,Buy 264 MAGENTA THERAPEUTICS INC ,-1994.52, ,8372.372739959
Statement of Funds,Data,Base Currency Summary,2018-11-13,2018-11-13,Buy 232 SELECT INTERIOR CONCEPTS-A ,-1995.2, ,6377.172739959
Statement of Funds,Data,Base Currency Summary,2018-11-13,2018-11-13,Buy 90 TRANSLATE BIO INC ,-563.5, ,5813.672739959
Statement of Funds,Data,Base Currency Summary,2018-11-14,2018-11-14,Sell -155 BLUEGREEN VACATIONS CORP , ,1871.620710375,7685.293450334
Statement of Funds,Data,Base Currency Summary,2018-11-19,2018-11-19,Sell -100 ALLENA PHARMACEUTICALS INC , ,851.977011,8537.270461334
Statement of Funds,Data,Base Currency Summary,2018-11-19,2018-11-19,Sell -143 ALLENA PHARMACEUTICALS INC , ,1219.54212573,9756.812587064
Statement of Funds,Data,Base Currency Summary,2018-11-19,2018-11-19,Buy 85 BLUEGREEN VACATIONS CORP ,-991.25, ,8765.562587064
Statement of Funds,Data,Base Currency Summary,2018-11-19,2018-11-19,Buy 263 LEVEL BRANDS INC ,-999.5052, ,7766.057387064
Statement of Funds,Data,Base Currency Summary,2018-11-19,2018-11-19,Sell -100 LIQUIDIA TECHNOLOGIES INC , ,2176.959786,9943.017173064
Statement of Funds,Data,Base Currency Summary,2018-11-19,2018-11-19,Sell -3 LIQUIDIA TECHNOLOGIES INC , ,63.347419468,10006.364592532
Statement of Funds,Data,Base Currency Summary,2018-11-19,2018-11-19,Sell -18 MAGENTA THERAPEUTICS INC , ,136.6960679,10143.060660432
